id,name,description,image_url,required_points,category,tier
1,"First Attendance","Attended your first event","/images/badges/first-attendance.png",10,"ATTENDANCE","BRONZE"
2,"Event Explorer","Attended 5 different events","/images/badges/event-explorer.png",50,"ATTENDANCE","SILVER"
3,"Event Master","Attended 25 different events","/images/badges/event-master.png",250,"ATTENDANCE","GOLD"
4,"Event Legend","Attended 50 different events","/images/badges/event-legend.png",500,"ATTENDANCE","PLATINUM"
5,"First Registration","Registered for your first event","/images/badges/first-registration.png",5,"REGISTRATION","BRONZE"
6,"Regular Participant","Registered for 10 events","/images/badges/regular-participant.png",50,"REGISTRATION","SILVER"
7,"Dedicated Participant","Registered for 30 events","/images/badges/dedicated-participant.png",150,"REGISTRATION","GOLD"
8,"Critic","Rated your first event","/images/badges/critic.png",2,"RATING","BRONZE"
9,"Reviewer","Rated 10 events","/images/badges/reviewer.png",20,"RATING","SILVER"
10,"Feedback Master","Rated 25 events","/images/badges/feedback-master.png",50,"RATING","GOLD"
11,"Diverse Attendee","Attended events in 3 different categories","/images/badges/diverse-attendee.png",30,"DIVERSITY","BRONZE"
12,"Versatile Attendee","Attended events in 5 different categories","/images/badges/versatile-attendee.png",50,"DIVERSITY","SILVER"
13,"Campus Explorer","Attended events in all categories","/images/badges/campus-explorer.png",100,"DIVERSITY","GOLD"
14,"Social Butterfly","Shared your first event","/images/badges/social-butterfly.png",3,"SOCIAL","BRONZE"
15,"Event Promoter","Shared 10 events","/images/badges/event-promoter.png",30,"SOCIAL","SILVER"
16,"Campus Influencer","Shared 25 events","/images/badges/campus-influencer.png",75,"SOCIAL","GOLD"
17,"Milestone: 100","Earned 100 points","/images/badges/milestone-100.png",100,"MILESTONE","BRONZE"
18,"Milestone: 500","Earned 500 points","/images/badges/milestone-500.png",500,"MILESTONE","SILVER"
19,"Milestone: 1000","Earned 1000 points","/images/badges/milestone-1000.png",1000,"MILESTONE","GOLD"
20,"Milestone: 5000","Earned 5000 points","/images/badges/milestone-5000.png",5000,"MILESTONE","PLATINUM"
